2000,"1,224"
2001,"1,310"
2002,"1,089"
2003,"1,180"
2004,"1,426"
2005,"1,601"
2006,"1,835"
2007,"2,210"
2008,"2,299"
2009,"2,195"
2010,"2,486"
2011,"2,837"
2012,"3,216"
2013,"3,359"
2014,"3,549"
2015,"3,821"
2016,"4,080"
2017,"4,540"
2018,"4,702"
2019,"4,744"
